<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LNZL;D;20200103;000000;6890.0000000;7500.0000000;6880.0000000;7260.0000000;836
LNZL;D;20200106;000000;7260.0000000;8870.0000000;7260.0000000;8140.0000000;5450
LNZL;D;20200108;000000;8500.0000000;8710.0000000;8230.0000000;8330.0000000;2880
LNZL;D;20200109;000000;8110.0000000;8190.0000000;7390.0000000;7790.0000000;2725
LNZL;D;20200110;000000;7870.0000000;7880.0000000;7660.0000000;7710.0000000;494
LNZL;D;20200113;000000;7530.0000000;8220.0000000;7470.0000000;8150.0000000;1486
LNZL;D;20200114;000000;8150.0000000;8150.0000000;7940.0000000;8010.0000000;715
LNZL;D;20200115;000000;8050.0000000;8100.0000000;7940.0000000;7950.0000000;255
LNZL;D;20200116;000000;7940.0000000;8050.0000000;7840.0000000;7910.0000000;423
LNZL;D;20200117;000000;7990.0000000;8020.0000000;7810.0000000;7930.0000000;393
LNZL;D;20200120;000000;8040.0000000;8040.0000000;7910.0000000;7970.0000000;369
LNZL;D;20200121;000000;8030.0000000;8040.0000000;7920.0000000;7950.0000000;185
LNZL;D;20200122;000000;7950.0000000;7990.0000000;7750.0000000;7950.0000000;480
LNZL;D;20200123;000000;8000.0000000;8020.0000000;7910.0000000;7940.0000000;375
LNZL;D;20200124;000000;7950.0000000;8000.0000000;7810.0000000;7970.0000000;179
LNZL;D;20200127;000000;8040.0000000;8370.0000000;7930.0000000;8370.0000000;2324
LNZL;D;20200128;000000;8340.0000000;8560.0000000;8030.0000000;8170.0000000;1549
LNZL;D;20200129;000000;8170.0000000;8250.0000000;8080.0000000;8150.0000000;683
LNZL;D;20200130;000000;8190.0000000;8290.0000000;8110.0000000;8240.0000000;674
LNZL;D;20200131;000000;8190.0000000;8230.0000000;8100.0000000;8190.0000000;544
LNZL;D;20200203;000000;8200.0000000;8400.0000000;8140.0000000;8200.0000000;742
LNZL;D;20200204;000000;8210.0000000;8290.0000000;8050.0000000;8070.0000000;514
LNZL;D;20200205;000000;8110.0000000;8250.0000000;7990.0000000;8080.0000000;487
LNZL;D;20200206;000000;7980.0000000;8150.0000000;7950.0000000;8090.0000000;251
LNZL;D;20200207;000000;8090.0000000;8190.0000000;8040.0000000;8050.0000000;316
LNZL;D;20200210;000000;8090.0000000;8140.0000000;8060.0000000;8110.0000000;223
LNZL;D;20200211;000000;8080.0000000;8110.0000000;7940.0000000;8050.0000000;319
LNZL;D;20200212;000000;8050.0000000;8080.0000000;8000.0000000;8050.0000000;230
LNZL;D;20200213;000000;8000.0000000;8160.0000000;8000.0000000;8100.0000000;399
LNZL;D;20200214;000000;8070.0000000;8110.0000000;8040.0000000;8060.0000000;164
LNZL;D;20200217;000000;8060.0000000;8100.0000000;8020.0000000;8090.0000000;238
LNZL;D;20200218;000000;8100.0000000;8140.0000000;8080.0000000;8100.0000000;368
LNZL;D;20200219;000000;8150.0000000;8230.0000000;8000.0000000;8030.0000000;441
LNZL;D;20200220;000000;8000.0000000;8150.0000000;8000.0000000;8080.0000000;176
LNZL;D;20200221;000000;8150.0000000;8450.0000000;8140.0000000;8280.0000000;1554
LNZL;D;20200225;000000;8450.0000000;8600.0000000;8270.0000000;8450.0000000;1519
LNZL;D;20200226;000000;8500.0000000;8570.0000000;8140.0000000;8220.0000000;1290
LNZL;D;20200227;000000;8280.0000000;8390.0000000;8150.0000000;8320.0000000;1024
LNZL;D;20200228;000000;8210.0000000;8260.0000000;7280.0000000;7480.0000000;2578
LNZL;D;20200302;000000;7750.0000000;7760.0000000;7300.0000000;7410.0000000;982
LNZL;D;20200303;000000;7490.0000000;7680.0000000;7390.0000000;7500.0000000;565
LNZL;D;20200304;000000;7510.0000000;7550.0000000;7400.0000000;7490.0000000;373
LNZL;D;20200305;000000;7490.0000000;7650.0000000;7380.0000000;7450.0000000;527
LNZL;D;20200306;000000;7520.0000000;7560.0000000;7310.0000000;7420.0000000;1397
LNZL;D;20200310;000000;6830.0000000;7590.0000000;6810.0000000;7290.0000000;1093
LNZL;D;20200311;000000;7390.0000000;7390.0000000;7070.0000000;7220.0000000;419
LNZL;D;20200312;000000;7030.0000000;7030.0000000;6100.0000000;6280.0000000;1128
LNZL;D;20200313;000000;6090.0000000;6610.0000000;6080.0000000;6400.0000000;524
LNZL;D;20200316;000000;6390.0000000;6390.0000000;5510.0000000;5830.0000000;631
LNZL;D;20200317;000000;5870.0000000;6360.0000000;5720.0000000;6100.0000000;994
LNZL;D;20200318;000000;6070.0000000;6630.0000000;6070.0000000;6240.0000000;683
LNZL;D;20200319;000000;6300.0000000;6660.0000000;6210.0000000;6370.0000000;1146
LNZL;D;20200320;000000;6660.0000000;6660.0000000;6230.0000000;6440.0000000;454
LNZL;D;20200323;000000;6230.0000000;8000.0000000;6230.0000000;6970.0000000;1658
LNZL;D;20200324;000000;7180.0000000;7480.0000000;7100.0000000;7220.0000000;1193
LNZL;D;20200325;000000;7340.0000000;7700.0000000;7100.0000000;7250.0000000;1150
LNZL;D;20200326;000000;7320.0000000;7950.0000000;7100.0000000;7770.0000000;2454
LNZL;D;20200327;000000;7940.0000000;8500.0000000;7350.0000000;7660.0000000;2641
LNZL;D;20200330;000000;7970.0000000;8400.0000000;7820.0000000;8300.0000000;2915
LNZL;D;20200331;000000;8400.0000000;8890.0000000;8300.0000000;8540.0000000;3512
LNZL;D;20200401;000000;8600.0000000;8600.0000000;8000.0000000;8540.0000000;1628
LNZL;D;20200402;000000;8310.0000000;8460.0000000;8130.0000000;8390.0000000;1069
LNZL;D;20200403;000000;8340.0000000;8400.0000000;8100.0000000;8170.0000000;1046
LNZL;D;20200406;000000;8280.0000000;8380.0000000;8050.0000000;8290.0000000;828
LNZL;D;20200407;000000;8400.0000000;8500.0000000;8150.0000000;8260.0000000;891
LNZL;D;20200408;000000;8260.0000000;8340.0000000;8130.0000000;8200.0000000;367
LNZL;D;20200409;000000;8200.0000000;8210.0000000;8080.0000000;8180.0000000;753
LNZL;D;20200410;000000;8180.0000000;8300.0000000;8090.0000000;8280.0000000;714
LNZL;D;20200413;000000;8250.0000000;8340.0000000;8150.0000000;8320.0000000;607
LNZL;D;20200414;000000;8400.0000000;9080.0000000;8280.0000000;8710.0000000;3058
LNZL;D;20200415;000000;8620.0000000;9650.0000000;8620.0000000;9100.0000000;5500
LNZL;D;20200416;000000;9100.0000000;9450.0000000;9100.0000000;9260.0000000;2149
LNZL;D;20200417;000000;9160.0000000;9250.0000000;8500.0000000;8860.0000000;4281
LNZL;D;20200420;000000;8720.0000000;8800.0000000;8560.0000000;8730.0000000;1108
LNZL;D;20200421;000000;8820.0000000;9300.0000000;8400.0000000;8840.0000000;2416
LNZL;D;20200422;000000;8850.0000000;9000.0000000;8550.0000000;8850.0000000;1754
LNZL;D;20200423;000000;8900.0000000;9090.0000000;8860.0000000;8940.0000000;1225
LNZL;D;20200424;000000;8880.0000000;8940.0000000;8640.0000000;8840.0000000;1089
LNZL;D;20200427;000000;8720.0000000;8900.0000000;8670.0000000;8760.0000000;909
LNZL;D;20200428;000000;8850.0000000;8850.0000000;8640.0000000;8660.0000000;666
LNZL;D;20200429;000000;8660.0000000;8700.0000000;8420.0000000;8550.0000000;841
LNZL;D;20200430;000000;8590.0000000;8590.0000000;8350.0000000;8530.0000000;714
LNZL;D;20200504;000000;8700.0000000;8790.0000000;8480.0000000;8530.0000000;755
LNZL;D;20200505;000000;8590.0000000;8590.0000000;8360.0000000;8490.0000000;308
LNZL;D;20200506;000000;8430.0000000;8560.0000000;8370.0000000;8420.0000000;302
LNZL;D;20200507;000000;8490.0000000;8530.0000000;8400.0000000;8440.0000000;186
LNZL;D;20200508;000000;8340.0000000;8490.0000000;8240.0000000;8430.0000000;433
LNZL;D;20200512;000000;8390.0000000;8470.0000000;8310.0000000;8380.0000000;188
LNZL;D;20200513;000000;8310.0000000;8600.0000000;8250.0000000;8470.0000000;459
LNZL;D;20200514;000000;8600.0000000;8660.0000000;8400.0000000;8660.0000000;585
LNZL;D;20200515;000000;8660.0000000;8700.0000000;8430.0000000;8530.0000000;412
LNZL;D;20200518;000000;8660.0000000;8820.0000000;8570.0000000;8610.0000000;472
LNZL;D;20200519;000000;8540.0000000;8560.0000000;8470.0000000;8530.0000000;495
LNZL;D;20200520;000000;8510.0000000;8650.0000000;8510.0000000;8630.0000000;781
LNZL;D;20200521;000000;8600.0000000;8700.0000000;8520.0000000;8590.0000000;517
LNZL;D;20200522;000000;8760.0000000;8760.0000000;8470.0000000;8560.0000000;558
LNZL;D;20200525;000000;8690.0000000;8690.0000000;8460.0000000;8550.0000000;455
LNZL;D;20200526;000000;8470.0000000;8690.0000000;8470.0000000;8500.0000000;1430
LNZL;D;20200527;000000;8510.0000000;8630.0000000;8450.0000000;8620.0000000;1093
LNZL;D;20200528;000000;8610.0000000;8750.0000000;8590.0000000;8680.0000000;710
LNZL;D;20200529;000000;8730.0000000;8730.0000000;8620.0000000;8690.0000000;592
LNZL;D;20200601;000000;8710.0000000;8720.0000000;8640.0000000;8690.0000000;376
LNZL;D;20200602;000000;8700.0000000;8750.0000000;8650.0000000;8680.0000000;261
LNZL;D;20200603;000000;8710.0000000;8710.0000000;8390.0000000;8570.0000000;666
LNZL;D;20200604;000000;8750.0000000;8750.0000000;8340.0000000;8490.0000000;626
LNZL;D;20200605;000000;8510.0000000;8510.0000000;8000.0000000;8170.0000000;1036
LNZL;D;20200608;000000;8180.0000000;8300.0000000;8160.0000000;8210.0000000;407
LNZL;D;20200609;000000;8290.0000000;8470.0000000;8220.0000000;8430.0000000;754
LNZL;D;20200610;000000;8480.0000000;8490.0000000;8380.0000000;8440.0000000;283
LNZL;D;20200611;000000;8500.0000000;8680.0000000;8410.0000000;8580.0000000;547
LNZL;D;20200615;000000;8670.0000000;8790.0000000;8360.0000000;8400.0000000;930
LNZL;D;20200616;000000;8410.0000000;8450.0000000;8380.0000000;8440.0000000;190
LNZL;D;20200617;000000;8450.0000000;8540.0000000;8410.0000000;8540.0000000;249
LNZL;D;20200618;000000;8410.0000000;8670.0000000;8410.0000000;8570.0000000;257
LNZL;D;20200619;000000;8550.0000000;8680.0000000;8440.0000000;8540.0000000;294
LNZL;D;20200622;000000;8680.0000000;8680.0000000;8520.0000000;8550.0000000;200
LNZL;D;20200623;000000;8660.0000000;8660.0000000;8470.0000000;8540.0000000;252
LNZL;D;20200625;000000;8610.0000000;8610.0000000;8440.0000000;8540.0000000;153
LNZL;D;20200626;000000;8530.0000000;8580.0000000;8430.0000000;8510.0000000;285
LNZL;D;20200629;000000;8520.0000000;8640.0000000;8470.0000000;8550.0000000;311
LNZL;D;20200630;000000;8550.0000000;8570.0000000;8480.0000000;8550.0000000;299
LNZL;D;20200702;000000;8610.0000000;8620.0000000;8460.0000000;8540.0000000;426
LNZL;D;20200703;000000;8580.0000000;8740.0000000;8500.0000000;8740.0000000;766
LNZL;D;20200706;000000;8630.0000000;8880.0000000;8610.0000000;8750.0000000;1016
LNZL;D;20200707;000000;8880.0000000;9220.0000000;8710.0000000;9100.0000000;3122
LNZL;D;20200708;000000;9150.0000000;9550.0000000;9050.0000000;9550.0000000;2453
LNZL;D;20200709;000000;9580.0000000;12990.0000000;9340.0000000;11450.0000000;16491
LNZL;D;20200710;000000;11350.0000000;13440.0000000;10700.0000000;12160.0000000;17134
LNZL;D;20200713;000000;12340.0000000;12540.0000000;11070.0000000;11660.0000000;5605
LNZL;D;20200714;000000;11430.0000000;11650.0000000;10670.0000000;11100.0000000;3224
LNZL;D;20200715;000000;11300.0000000;12850.0000000;10960.0000000;12120.0000000;10083
LNZL;D;20200716;000000;11900.0000000;12300.0000000;11200.0000000;11810.0000000;3995
LNZL;D;20200717;000000;11900.0000000;12440.0000000;11880.0000000;11990.0000000;887
LNZL;D;20200720;000000;12010.0000000;12330.0000000;11940.0000000;11970.0000000;1379
LNZL;D;20200721;000000;12030.0000000;12100.0000000;11550.0000000;11900.0000000;1259
LNZL;D;20200722;000000;12000.0000000;12150.0000000;11860.0000000;12000.0000000;867
LNZL;D;20200723;000000;12450.0000000;12500.0000000;12020.0000000;12200.0000000;2608
LNZL;D;20200724;000000;12210.0000000;12900.0000000;12150.0000000;12540.0000000;4548
LNZL;D;20200727;000000;12700.0000000;17420.0000000;12580.0000000;16550.0000000;34763
LNZL;D;20200728;000000;16880.0000000;20380.0000000;16420.0000000;18750.0000000;34395
LNZL;D;20200729;000000;19490.0000000;20000.0000000;17870.0000000;18300.0000000;8888
LNZL;D;20200730;000000;18620.0000000;18620.0000000;17010.0000000;17290.0000000;4402
LNZL;D;20200731;000000;18590.0000000;19450.0000000;17900.0000000;18600.0000000;7256
LNZL;D;20200803;000000;18790.0000000;18800.0000000;18100.0000000;18480.0000000;1841
LNZL;D;20200804;000000;18400.0000000;18500.0000000;17800.0000000;18160.0000000;2002
LNZL;D;20200805;000000;19090.0000000;19340.0000000;18400.0000000;18670.0000000;4531
LNZL;D;20200806;000000;18760.0000000;18830.0000000;18300.0000000;18750.0000000;3597
LNZL;D;20200807;000000;18570.0000000;18700.0000000;17900.0000000;18200.0000000;1778
LNZL;D;20200810;000000;18300.0000000;18340.0000000;17910.0000000;18130.0000000;1206
LNZL;D;20200811;000000;17620.0000000;17700.0000000;16710.0000000;16930.0000000;3112
LNZL;D;20200812;000000;16760.0000000;17800.0000000;16020.0000000;17140.0000000;2800
LNZL;D;20200813;000000;17150.0000000;17700.0000000;17100.0000000;17570.0000000;1023
LNZL;D;20200814;000000;17680.0000000;18200.0000000;17570.0000000;17790.0000000;1048
LNZL;D;20200817;000000;19040.0000000;19190.0000000;18230.0000000;18580.0000000;9310
LNZL;D;20200818;000000;18680.0000000;18680.0000000;18380.0000000;18460.0000000;2505
LNZL;D;20200819;000000;18420.0000000;18490.0000000;18270.0000000;18440.0000000;1234
LNZL;D;20200820;000000;18380.0000000;18400.0000000;18300.0000000;18320.0000000;648
LNZL;D;20200821;000000;18330.0000000;18380.0000000;18220.0000000;18320.0000000;622
LNZL;D;20200824;000000;18300.0000000;18420.0000000;18280.0000000;18360.0000000;782
LNZL;D;20200825;000000;18250.0000000;18360.0000000;18230.0000000;18290.0000000;534
LNZL;D;20200826;000000;18200.0000000;18200.0000000;17830.0000000;18140.0000000;887
LNZL;D;20200827;000000;18190.0000000;18190.0000000;17960.0000000;18000.0000000;537
LNZL;D;20200828;000000;18030.0000000;18120.0000000;17910.0000000;18000.0000000;705
LNZL;D;20200831;000000;18030.0000000;18030.0000000;17890.0000000;17890.0000000;469
LNZL;D;20200901;000000;17870.0000000;18180.0000000;17870.0000000;17920.0000000;1146
