<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;D;20200103;000000;143.9800000;144.7400000;143.3000000;144.5000000;4578730
NLMK;D;20200106;000000;144.4800000;144.4800000;140.8800000;141.9400000;6600390
NLMK;D;20200108;000000;139.0000000;139.5000000;137.8000000;139.5000000;9260390
NLMK;D;20200109;000000;139.2000000;143.6000000;139.2000000;141.9600000;10108630
NLMK;D;20200110;000000;142.5400000;145.1200000;140.8000000;143.6200000;9444490
NLMK;D;20200113;000000;143.7000000;146.9800000;142.4800000;146.8400000;7138040
NLMK;D;20200114;000000;147.0800000;151.4600000;146.2200000;146.9200000;11506450
NLMK;D;20200115;000000;146.8600000;148.7600000;145.2400000;146.5000000;6510920
NLMK;D;20200116;000000;146.9000000;149.3000000;146.8200000;147.5800000;5987530
NLMK;D;20200117;000000;148.5200000;150.5000000;148.0000000;150.2000000;5803870
NLMK;D;20200120;000000;150.2600000;152.0000000;148.1000000;148.7800000;7708860
NLMK;D;20200121;000000;148.3800000;148.6800000;145.7800000;147.3600000;5487590
NLMK;D;20200122;000000;147.3600000;148.1000000;143.5200000;144.0400000;8889170
NLMK;D;20200123;000000;143.5000000;145.6600000;142.9400000;144.2000000;4303120
NLMK;D;20200124;000000;144.8200000;146.1800000;144.5600000;145.0000000;2702760
NLMK;D;20200127;000000;144.2400000;144.3800000;140.5000000;143.1600000;5485630
NLMK;D;20200128;000000;143.1600000;144.6400000;142.6400000;144.1200000;4062960
NLMK;D;20200129;000000;144.9600000;144.9800000;143.3200000;144.2000000;4124700
NLMK;D;20200130;000000;143.6000000;144.5200000;142.5400000;143.8200000;2765820
NLMK;D;20200131;000000;144.3400000;144.6600000;138.0000000;138.0000000;11340170
NLMK;D;20200203;000000;137.4600000;138.6600000;135.6000000;135.9800000;8137820
NLMK;D;20200204;000000;136.6400000;139.1000000;136.5800000;138.4200000;6488320
NLMK;D;20200205;000000;138.8200000;140.0000000;137.2200000;138.8200000;8551930
NLMK;D;20200206;000000;139.7800000;140.4400000;138.2000000;139.4400000;6122290
NLMK;D;20200207;000000;139.3000000;140.0600000;137.5000000;139.9800000;5150920
NLMK;D;20200210;000000;140.2200000;141.2800000;134.6400000;137.5800000;7552390
NLMK;D;20200211;000000;138.3000000;139.3400000;136.8000000;137.2000000;6722000
NLMK;D;20200212;000000;137.5000000;142.2400000;136.1000000;141.2400000;13242520
NLMK;D;20200213;000000;140.4400000;140.9000000;138.8400000;139.1400000;5693000
NLMK;D;20200214;000000;139.1400000;141.2200000;138.3000000;140.3200000;5474560
NLMK;D;20200217;000000;140.5400000;141.8600000;139.6800000;140.4200000;2043410
NLMK;D;20200218;000000;139.6600000;141.3600000;138.6000000;138.9000000;5729070
NLMK;D;20200219;000000;139.8000000;140.4400000;137.2000000;139.1200000;4977710
NLMK;D;20200220;000000;139.5200000;141.1000000;139.3000000;139.9800000;4418600
NLMK;D;20200221;000000;139.7800000;140.7600000;138.8600000;139.8200000;5833620
NLMK;D;20200225;000000;138.0000000;139.9000000;137.6800000;137.7200000;7982460
NLMK;D;20200226;000000;137.7200000;137.9800000;134.5000000;136.7400000;9887320
NLMK;D;20200227;000000;136.0000000;136.4000000;131.4000000;131.4000000;7985050
NLMK;D;20200228;000000;127.3600000;130.7600000;123.1600000;124.9400000;20826080
NLMK;D;20200302;000000;129.4400000;129.9600000;119.1400000;122.1800000;16637290
NLMK;D;20200303;000000;123.5000000;124.4800000;121.1200000;122.3600000;9939390
NLMK;D;20200304;000000;121.2800000;123.9000000;120.2800000;123.1600000;8017320
NLMK;D;20200305;000000;124.4400000;124.8400000;121.7400000;124.3800000;8777900
NLMK;D;20200306;000000;123.0200000;123.4400000;117.6000000;119.5600000;12160350
NLMK;D;20200310;000000;107.4600000;123.9400000;100.8200000;118.0400000;18271240
NLMK;D;20200311;000000;120.0000000;122.9400000;117.0200000;120.7000000;16919990
NLMK;D;20200312;000000;116.0000000;117.5000000;109.8000000;111.1400000;14678440
NLMK;D;20200313;000000;111.2400000;116.8800000;109.5400000;109.5400000;13035230
NLMK;D;20200316;000000;110.4000000;112.0000000;105.5000000;108.7600000;12658340
NLMK;D;20200317;000000;109.0600000;113.0000000;104.0000000;107.8000000;11086900
NLMK;D;20200318;000000;106.6800000;107.9800000;101.1000000;101.1000000;10345930
NLMK;D;20200319;000000;101.8000000;110.8600000;100.0000000;108.4200000;19536770
NLMK;D;20200320;000000;110.9000000;113.4800000;109.4400000;111.5600000;16357790
NLMK;D;20200323;000000;108.5200000;110.8800000;106.5000000;108.3600000;9062760
NLMK;D;20200324;000000;111.0000000;117.3400000;111.0000000;116.0800000;14155350
NLMK;D;20200325;000000;118.0200000;125.4800000;117.7000000;122.1200000;18704350
NLMK;D;20200326;000000;121.9600000;122.4400000;118.5600000;119.7600000;10127330
NLMK;D;20200327;000000;120.0400000;120.3800000;115.1200000;116.4000000;6272810
NLMK;D;20200330;000000;114.0800000;118.7800000;113.4000000;118.7800000;5891970
NLMK;D;20200331;000000;120.7800000;125.3000000;119.9800000;124.0000000;9462680
NLMK;D;20200401;000000;122.0000000;124.1800000;121.2800000;122.8000000;7558230
NLMK;D;20200402;000000;124.6400000;125.9200000;118.7400000;122.7000000;12131000
NLMK;D;20200403;000000;122.0000000;124.9800000;121.1200000;124.8400000;9402530
NLMK;D;20200406;000000;126.1000000;131.4000000;124.6200000;130.0000000;8127140
NLMK;D;20200407;000000;132.0200000;132.7800000;131.1200000;132.2400000;8019030
NLMK;D;20200408;000000;131.3800000;133.0000000;129.1400000;133.0000000;8244650
NLMK;D;20200409;000000;133.6800000;134.6000000;130.4000000;133.4600000;7455550
NLMK;D;20200410;000000;132.0600000;132.0800000;131.0000000;131.5800000;1884250
NLMK;D;20200413;000000;132.5000000;132.5800000;128.7000000;129.9200000;3369240
NLMK;D;20200414;000000;130.7200000;131.9600000;129.0000000;129.0400000;6829580
NLMK;D;20200415;000000;128.5400000;128.9000000;124.2000000;125.3200000;6672460
NLMK;D;20200416;000000;125.6400000;127.4800000;124.5800000;125.5000000;7905280
NLMK;D;20200417;000000;127.3000000;127.9800000;125.5200000;126.1000000;5645110
NLMK;D;20200420;000000;125.5800000;128.3600000;125.5600000;127.5000000;6813200
NLMK;D;20200421;000000;126.0200000;126.3600000;124.3000000;124.8800000;10849790
NLMK;D;20200422;000000;124.4400000;127.4800000;124.4400000;125.5000000;8737260
NLMK;D;20200423;000000;126.1200000;128.3400000;125.4000000;127.4600000;6061110
NLMK;D;20200424;000000;127.5800000;127.5800000;124.4000000;124.8400000;9853360
NLMK;D;20200427;000000;124.7000000;125.8800000;123.1600000;123.1600000;6434620
NLMK;D;20200428;000000;123.1000000;126.4600000;122.4000000;125.6000000;8678480
NLMK;D;20200429;000000;126.0400000;128.3000000;125.0800000;127.1000000;5290950
NLMK;D;20200430;000000;128.0000000;128.4000000;125.9400000;128.3400000;6839460
NLMK;D;20200504;000000;127.4000000;127.6800000;123.9000000;124.8000000;5352120
NLMK;D;20200505;000000;125.8000000;126.4000000;124.7000000;125.0800000;3229120
NLMK;D;20200506;000000;125.4400000;126.1000000;124.0600000;124.0600000;4436920
NLMK;D;20200507;000000;124.5000000;126.5800000;124.1200000;124.9000000;5001300
NLMK;D;20200508;000000;125.2600000;125.5800000;123.9200000;125.0000000;3763390
NLMK;D;20200512;000000;124.3000000;124.4800000;122.1000000;122.1000000;7627960
NLMK;D;20200513;000000;122.0200000;122.1200000;118.2400000;118.2400000;5549300
NLMK;D;20200514;000000;118.1000000;118.9200000;116.0200000;117.2800000;7319070
NLMK;D;20200515;000000;118.1800000;120.2200000;117.5200000;118.4000000;5222180
NLMK;D;20200518;000000;119.9200000;124.6400000;119.5000000;124.6400000;8585800
NLMK;D;20200519;000000;124.1000000;126.2600000;123.2000000;125.0200000;8980210
NLMK;D;20200520;000000;125.0200000;128.6000000;124.4000000;128.1000000;8535260
NLMK;D;20200521;000000;128.1000000;129.2800000;125.0600000;125.7000000;5387230
NLMK;D;20200522;000000;125.0200000;128.3600000;124.3200000;128.2800000;7144870
NLMK;D;20200525;000000;128.5000000;132.4800000;128.4400000;132.2000000;5980180
NLMK;D;20200526;000000;132.8800000;136.4400000;132.2000000;134.0000000;13348440
NLMK;D;20200527;000000;134.4000000;138.2600000;134.2000000;135.7000000;9679560
NLMK;D;20200528;000000;136.5400000;139.2600000;135.9400000;138.8000000;7679790
NLMK;D;20200529;000000;139.1600000;139.1600000;134.7200000;137.7600000;16470540
NLMK;D;20200601;000000;138.3000000;139.0000000;136.8000000;137.7200000;4484280
NLMK;D;20200602;000000;137.5000000;138.2400000;136.3600000;138.1600000;5610870
NLMK;D;20200603;000000;138.3600000;140.7400000;137.6800000;139.8800000;6373630
NLMK;D;20200604;000000;140.3800000;140.8800000;136.7200000;138.8600000;10930990
NLMK;D;20200605;000000;138.8800000;144.1600000;138.2200000;142.0000000;8859020
NLMK;D;20200608;000000;139.8600000;140.0000000;137.1000000;137.5800000;6665710
NLMK;D;20200609;000000;138.0400000;138.7800000;135.9200000;137.0000000;6282530
NLMK;D;20200610;000000;137.1000000;139.3000000;136.1200000;138.6600000;5571270
NLMK;D;20200611;000000;137.4600000;137.4600000;134.8200000;135.6000000;3757680
NLMK;D;20200615;000000;134.2200000;134.5000000;130.9200000;131.5000000;7916230
NLMK;D;20200616;000000;132.3800000;134.9000000;132.3600000;133.3600000;7926990
NLMK;D;20200617;000000;134.1800000;137.7200000;134.1600000;137.2800000;8362420
NLMK;D;20200618;000000;136.9000000;139.0000000;136.1600000;137.8200000;9254120
NLMK;D;20200619;000000;138.4200000;139.6000000;138.0200000;138.8600000;7759170
NLMK;D;20200622;000000;138.8600000;138.8600000;136.3400000;138.3200000;4570310
NLMK;D;20200623;000000;138.0200000;140.1400000;138.0200000;138.9000000;3652830
NLMK;D;20200625;000000;138.0800000;138.3800000;136.5000000;138.3400000;4509660
NLMK;D;20200626;000000;138.3400000;138.9600000;136.7800000;137.2800000;2458530
NLMK;D;20200629;000000;136.9000000;139.3200000;136.8600000;139.0200000;3084000
